time,robotId:0,x0,y0,z0,robotId:1,x1,y1,z1,robotId:2,x2,y2,z2,robotId:3,x3,y3,z3,robotId:4,x4,y4,z4,robotId:5,x5,y5,z5,robotId:6,x6,y6,z6,robotId:7,x7,y7,z7,robotId:8,x8,y8,z8
83,0,-0.240713,0.0574403,0,1,-0.545403,0.400173,0,2,0.0125423,-0.507644,0,3,-0.479322,-0.370481,0,4,0.204025,-0.0046844,0,5,3.1326,-0.141747,0,6,0.205461,3.01011,0,7,-2.96479,0.148112,0,8,-0.0402588,-3.06338,0
84,0,-0.240445,0.0576833,0,1,-0.545934,0.401128,0,2,0.0133818,-0.509042,0,3,-0.480499,-0.37192,0,4,0.205714,-0.00422661,0,5,3.13382,-0.144851,0,6,0.208758,3.01061,0,7,-2.96708,0.150531,0,8,-0.0426403,-3.06571,0
85,0,-0.240196,0.0579104,0,1,-0.546442,0.402042,0,2,0.0142014,-0.510405,0,3,-0.481649,-0.373301,0,4,0.207339,-0.00378019,0,5,3.13502,-0.147958,0,6,0.212052,3.01112,0,7,-2.96946,0.152866,0,8,-0.0450522,-3.06801,0
86,0,-0.239966,0.0581223,0,1,-0.546929,0.402917,0,2,0.015002,-0.511733,0,3,-0.482771,-0.374626,0,4,0.208902,-0.00334512,0,5,3.13622,-0.151068,0,6,0.215343,3.01164,0,7,-2.97192,0.155113,0,8,-0.0474932,-3.07028,0
87,0,-0.239753,0.0583199,0,1,-0.547396,0.403753,0,2,0.0157842,-0.513027,0,3,-0.483865,-0.375897,0,4,0.210405,-0.00292138,0,5,3.13741,-0.154181,0,6,0.218633,3.01218,0,7,-2.97446,0.15727,0,8,-0.0499623,-3.07252,0
88,0,-0.239556,0.0585039,0,1,-0.547842,0.404552,0,2,0.0165488,-0.51429,0,3,-0.484931,-0.377117,0,4,0.21185,-0.0025089,0,5,3.1386,-0.157297,0,6,0.22192,3.01274,0,7,-2.97708,0.159333,0,8,-0.0524584,-3.07473,0
89,0,-0.239374,0.0586751,0,1,-0.548269,0.405316,0,2,0.0172965,-0.515522,0,3,-0.485969,-0.378287,0,4,0.213238,-0.0021076,0,5,3.13977,-0.160416,0,6,0.225204,3.0133,0,7,-2.97977,0.1613,0,8,-0.0549802,-3.07691,0
90,0,-0.239206,0.0588342,0,1,-0.548677,0.406045,0,2,0.018028,-0.516724,0,3,-0.486979,-0.379409,0,4,0.214571,-0.00171735,0,5,3.14094,-0.163537,0,6,0.228487,3.01388,0,7,-2.98253,0.163168,0,8,-0.0575269,-3.07906,0
91,0,-0.239051,0.0589821,0,1,-0.549067,0.406742,0,2,0.0187439,-0.517898,0,3,-0.487962,-0.380486,0,4,0.215851,-0.00133801,0,5,3.14211,-0.166662,0,6,0.231768,3.01447,0,7,-2.98536,0.164935,0,8,-0.0600974,-3.08118,0
92,0,-0.239035,0.0589968,0,1,-0.54944,0.407407,0,2,0.0194447,-0.519044,0,3,-0.488918,-0.381518,0,4,0.217079,-0.000969421,0,5,3.14326,-0.169789,0,6,0.235046,3.01508,0,7,-2.98825,0.166599,0,8,-0.0626908,-3.08328,0
93,0,-0.239035,0.0589968,0,1,-0.549796,0.408042,0,2,0.0201312,-0.520165,0,3,-0.489848,-0.382509,0,4,0.218257,-0.000611651,0,5,3.14441,-0.172917,0,6,0.238321,3.0157,0,7,-2.99119,0.168157,0,8,-0.0653031,-3.08535,0
94,0,-0.239035,0.0589968,0,1,-0.550135,0.408648,0,2,0.0208039,-0.521261,0,3,-0.490752,-0.38346,0,4,0.219386,-0.000264515,0,5,3.14556,-0.176045,0,6,0.241594,3.01633,0,7,-2.99419,0.169607,0,8,-0.0679328,-3.0874,0
95,0,-0.239035,0.0589968,0,1,-0.550459,0.409227,0,2,0.0214634,-0.522332,0,3,-0.491632,-0.384374,0,4,0.220469,7.22455e-05,0,5,3.14671,-0.179174,0,6,0.244863,3.01698,0,7,-2.99725,0.170947,0,8,-0.0705793,-3.08942,0
96,0,-0.239035,0.0589968,0,1,-0.550768,0.409779,0,2,0.02211,-0.523381,0,3,-0.492487,-0.385251,0,4,0.221506,0.000398901,0,5,3.14786,-0.182304,0,6,0.248128,3.01765,0,7,-3.00034,0.172177,0,8,-0.0732419,-3.09143,0
97,0,-0.239035,0.0589968,0,1,-0.551062,0.410305,0,2,0.0227443,-0.524407,0,3,-0.493318,-0.386092,0,4,0.222501,0.00071573,0,5,3.14901,-0.185434,0,6,0.251391,3.01833,0,7,-3.00343,0.173446,0,8,-0.0759202,-3.09341,0
98,0,-0.239035,0.0589968,0,1,-0.551343,0.410807,0,2,0.0233667,-0.525412,0,3,-0.494125,-0.3869,0,4,0.223454,0.00102302,0,5,3.15015,-0.188564,0,6,0.254651,3.01903,0,7,-3.00648,0.174789,0,8,-0.0786135,-3.09538,0
99,0,-0.239035,0.0589968,0,1,-0.55161,0.411286,0,2,0.0239775,-0.526396,0,3,-0.494909,-0.387676,0,4,0.224367,0.00132106,0,5,3.15129,-0.191696,0,6,0.257908,3.01974,0,7,-3.0095,0.176203,0,8,-0.0813214,-3.09732,0
100,0,-0.239035,0.0589968,0,1,-0.551865,0.411743,0,2,0.0245772,-0.52736,0,3,-0.49567,-0.38842,0,4,0.225243,0.00161015,0,5,3.15243,-0.194828,0,6,0.261162,3.02046,0,7,-3.01248,0.177686,0,8,-0.0840433,-3.09924,0
